code,location,file,cdg_nodes,neighbor_nodes,context_lists,ddg_lists,static_lists,cluster_index
"fprintf ( stderr , ""assertion failed: %s:%d: \""%s\""\n"" , file , line , expr )",13:4:361:431,/data/download/squid/squid-3.5.25/compat/assert.cc,[],"[["""", [4973, ""True"", ""int line"", ""Parameter""]], ["""", [4976, ""True"", ""const char * file"", ""Parameter""]], ["""", [4979, ""True"", ""const char * expr"", ""Parameter""]], ["""", [5004, ""True"", ""ENTRY"", ""CFGEntryNode""]]]","[[[""int""]], [[""const char *""]], [[""const char *""]], [[""ENTRY""]]]","[[[""const char *""], ""const char *""], [[""int""], ""int""], [[""const char *""], ""const char *""]]","[""\""assertion failed: %s:%d: \\\""%s\\\""\\n\""""]"
"( void ) fprintf ( p , ""%s\n"" , dom -> authfile )",227:8:6526:6566,/data/download/squid/squid-3.5.25/helpers/basic_auth/SMB/basic_smb_auth.cc,"[[""False"", [27283, ""True"", ""( p = popen ( shcmd , \""w\"" ) ) == NULL"", ""Condition""]], [""False"", [27306, ""True"", ""dom == NULL"", ""Condition""]], [""False"", [27434, ""True"", ""( s = strchr ( buf , ' ' ) ) == NULL"", ""Condition""]], [""False"", [27455, ""True"", ""( s = strchr ( buf , '\\n' ) ) == NULL"", ""Condition""]]]","[["""", [27198, ""True"", ""( void ) fprintf ( p , \""%s\\n\"" , dom -> authshare )"", ""ExpressionStatement""]], ["""", [27213, ""True"", ""( void ) fprintf ( p , \""%d\\n\"" , dom -> nmbcast )"", ""ExpressionStatement""]], ["""", [27228, ""True"", ""( void ) fprintf ( p , \""%s\\n\"" , dom -> nmbaddr )"", ""ExpressionStatement""]], ["""", [27243, ""True"", ""( void ) fprintf ( p , \""%s\\n\"" , dom -> passthrough )"", ""ExpressionStatement""]]]","[[[""p"", ""popen"", ""const char *"", ""\""w\"""", ""="", ""NULL"", ""==""]], [[""struct SMBDOMAIN *"", ""NULL"", ""==""]], [[""s"", ""strchr"", ""char [ HELPER_INPUT_BUFFER ]"", ""' '"", ""="", ""NULL"", ""==""]], [[""s"", ""strchr"", ""char [ HELPER_INPUT_BUFFER ]"", ""'\\n'"", ""="", ""NULL"", ""==""]], [[""fprintf"", ""FILE *"", ""\""%s\\n\"""", ""struct SMBDOMAIN *"", ""authshare""]], [[""fprintf"", ""FILE *"", ""\""%d\\n\"""", ""struct SMBDOMAIN *"", ""nmbcast""]], [[""fprintf"", ""FILE *"", ""\""%s\\n\"""", ""struct SMBDOMAIN *"", ""nmbaddr""]], [[""fprintf"", ""FILE *"", ""\""%s\\n\"""", ""struct SMBDOMAIN *"", ""passthrough""]]]","[[[""struct SMBDOMAIN *"", ""next"", ""NULL"", ""=""], ""* dom""], [[""FILE *"", ""popen"", ""const char *"", ""\""w\"""", ""="", ""NULL"", ""==""], ""FILE *""], [[""struct SMBDOMAIN *"", ""authfile"", ""\""proxyauth\"""", ""=""], ""dom -> authfile""], [[""struct SMBDOMAIN *"", ""firstdom"", ""=""], ""struct SMBDOMAIN *""], [[""struct SMBDOMAIN *"", ""firstdom"", ""=""], ""struct SMBDOMAIN *""], [[""struct SMBDOMAIN *"", ""struct SMBDOMAIN *"", ""next""], ""struct SMBDOMAIN *""]]","[""\""%s\\n\""""]"
"( void ) fprintf ( p , ""%s\n"" , dom -> authshare )",226:8:6475:6516,/data/download/squid/squid-3.5.25/helpers/basic_auth/SMB/basic_smb_auth.cc,"[[""False"", [27283, ""True"", ""( p = popen ( shcmd , \""w\"" ) ) == NULL"", ""Condition""]], [""False"", [27306, ""True"", ""dom == NULL"", ""Condition""]], [""False"", [27434, ""True"", ""( s = strchr ( buf , ' ' ) ) == NULL"", ""Condition""]], [""False"", [27455, ""True"", ""( s = strchr ( buf , '\\n' ) ) == NULL"", ""Condition""]]]","[["""", [27213, ""True"", ""( void ) fprintf ( p , \""%d\\n\"" , dom -> nmbcast )"", ""ExpressionStatement""]], ["""", [27228, ""True"", ""( void ) fprintf ( p , \""%s\\n\"" , dom -> nmbaddr )"", ""ExpressionStatement""]], ["""", [27243, ""True"", ""( void ) fprintf ( p , \""%s\\n\"" , dom -> passthrough )"", ""ExpressionStatement""]], ["""", [27258, ""True"", ""( void ) fprintf ( p , \""%s\\n\"" , dom -> name )"", ""ExpressionStatement""]]]","[[[""p"", ""popen"", ""const char *"", ""\""w\"""", ""="", ""NULL"", ""==""]], [[""struct SMBDOMAIN *"", ""NULL"", ""==""]], [[""s"", ""strchr"", ""char [ HELPER_INPUT_BUFFER ]"", ""' '"", ""="", ""NULL"", ""==""]], [[""s"", ""strchr"", ""char [ HELPER_INPUT_BUFFER ]"", ""'\\n'"", ""="", ""NULL"", ""==""]], [[""fprintf"", ""FILE *"", ""\""%d\\n\"""", ""struct SMBDOMAIN *"", ""nmbcast""]], [[""fprintf"", ""FILE *"", ""\""%s\\n\"""", ""struct SMBDOMAIN *"", ""nmbaddr""]], [[""fprintf"", ""FILE *"", ""\""%s\\n\"""", ""struct SMBDOMAIN *"", ""passthrough""]], [[""fprintf"", ""FILE *"", ""\""%s\\n\"""", ""struct SMBDOMAIN *"", ""name""]]]","[[[""struct SMBDOMAIN *"", ""authshare"", ""\""NETLOGON\"""", ""=""], ""dom -> authshare""], [[""struct SMBDOMAIN *"", ""next"", ""NULL"", ""=""], ""* dom""], [[""FILE *"", ""popen"", ""const char *"", ""\""w\"""", ""="", ""NULL"", ""==""], ""FILE *""], [[""struct SMBDOMAIN *"", ""firstdom"", ""=""], ""struct SMBDOMAIN *""], [[""struct SMBDOMAIN *"", ""firstdom"", ""=""], ""struct SMBDOMAIN *""], [[""struct SMBDOMAIN *"", ""struct SMBDOMAIN *"", ""next""], ""struct SMBDOMAIN *""]]","[""\""%s\\n\""""]"
"( void ) fprintf ( p , ""%d\n"" , dom -> nmbcast )",225:8:6426:6465,/data/download/squid/squid-3.5.25/helpers/basic_auth/SMB/basic_smb_auth.cc,"[[""False"", [27283, ""True"", ""( p = popen ( shcmd , \""w\"" ) ) == NULL"", ""Condition""]], [""False"", [27306, ""True"", ""dom == NULL"", ""Condition""]], [""False"", [27434, ""True"", ""( s = strchr ( buf , ' ' ) ) == NULL"", ""Condition""]], [""False"", [27455, ""True"", ""( s = strchr ( buf , '\\n' ) ) == NULL"", ""Condition""]]]","[["""", [27228, ""True"", ""( void ) fprintf ( p , \""%s\\n\"" , dom -> nmbaddr )"", ""ExpressionStatement""]], ["""", [27243, ""True"", ""( void ) fprintf ( p , \""%s\\n\"" , dom -> passthrough )"", ""ExpressionStatement""]], ["""", [27258, ""True"", ""( void ) fprintf ( p , \""%s\\n\"" , dom -> name )"", ""ExpressionStatement""]]]","[[[""p"", ""popen"", ""const char *"", ""\""w\"""", ""="", ""NULL"", ""==""]], [[""struct SMBDOMAIN *"", ""NULL"", ""==""]], [[""s"", ""strchr"", ""char [ HELPER_INPUT_BUFFER ]"", ""' '"", ""="", ""NULL"", ""==""]], [[""s"", ""strchr"", ""char [ HELPER_INPUT_BUFFER ]"", ""'\\n'"", ""="", ""NULL"", ""==""]], [[""fprintf"", ""FILE *"", ""\""%s\\n\"""", ""struct SMBDOMAIN *"", ""nmbaddr""]], [[""fprintf"", ""FILE *"", ""\""%s\\n\"""", ""struct SMBDOMAIN *"", ""passthrough""]], [[""fprintf"", ""FILE *"", ""\""%s\\n\"""", ""struct SMBDOMAIN *"", ""name""]]]","[[[""struct SMBDOMAIN *"", ""nmbcast"", ""NMB_BROADCAST"", ""=""], ""dom -> nmbcast""], [[""struct SMBDOMAIN *"", ""next"", ""NULL"", ""=""], ""* dom""], [[""FILE *"", ""popen"", ""const char *"", ""\""w\"""", ""="", ""NULL"", ""==""], ""FILE *""], [[""struct SMBDOMAIN *"", ""firstdom"", ""=""], ""struct SMBDOMAIN *""], [[""struct SMBDOMAIN *"", ""firstdom"", ""=""], ""struct SMBDOMAIN *""], [[""struct SMBDOMAIN *"", ""struct SMBDOMAIN *"", ""next""], ""struct SMBDOMAIN *""]]","[""\""%d\\n\""""]"
"( void ) fprintf ( p , ""%s\n"" , dom -> nmbaddr )",224:8:6377:6416,/data/download/squid/squid-3.5.25/helpers/basic_auth/SMB/basic_smb_auth.cc,"[[""False"", [27283, ""True"", ""( p = popen ( shcmd , \""w\"" ) ) == NULL"", ""Condition""]], [""False"", [27306, ""True"", ""dom == NULL"", ""Condition""]], [""False"", [27434, ""True"", ""( s = strchr ( buf , ' ' ) ) == NULL"", ""Condition""]], [""False"", [27455, ""True"", ""( s = strchr ( buf , '\\n' ) ) == NULL"", ""Condition""]]]","[["""", [27243, ""True"", ""( void ) fprintf ( p , \""%s\\n\"" , dom -> passthrough )"", ""ExpressionStatement""]], ["""", [27258, ""True"", ""( void ) fprintf ( p , \""%s\\n\"" , dom -> name )"", ""ExpressionStatement""]]]","[[[""p"", ""popen"", ""const char *"", ""\""w\"""", ""="", ""NULL"", ""==""]], [[""struct SMBDOMAIN *"", ""NULL"", ""==""]], [[""s"", ""strchr"", ""char [ HELPER_INPUT_BUFFER ]"", ""' '"", ""="", ""NULL"", ""==""]], [[""s"", ""strchr"", ""char [ HELPER_INPUT_BUFFER ]"", ""'\\n'"", ""="", ""NULL"", ""==""]], [[""fprintf"", ""FILE *"", ""\""%s\\n\"""", ""struct SMBDOMAIN *"", ""passthrough""]], [[""fprintf"", ""FILE *"", ""\""%s\\n\"""", ""struct SMBDOMAIN *"", ""name""]]]","[[[""struct SMBDOMAIN *"", ""next"", ""NULL"", ""=""], ""* dom""], [[""FILE *"", ""popen"", ""const char *"", ""\""w\"""", ""="", ""NULL"", ""==""], ""FILE *""], [[""struct SMBDOMAIN *"", ""nmbaddr"", ""\""\"""", ""=""], ""dom -> nmbaddr""], [[""struct SMBDOMAIN *"", ""firstdom"", ""=""], ""struct SMBDOMAIN *""], [[""struct SMBDOMAIN *"", ""firstdom"", ""=""], ""struct SMBDOMAIN *""], [[""struct SMBDOMAIN *"", ""struct SMBDOMAIN *"", ""next""], ""struct SMBDOMAIN *""]]","[""\""%s\\n\""""]"
"( void ) fprintf ( p , ""%s\n"" , dom -> passthrough )",223:8:6324:6367,/data/download/squid/squid-3.5.25/helpers/basic_auth/SMB/basic_smb_auth.cc,"[[""False"", [27283, ""True"", ""( p = popen ( shcmd , \""w\"" ) ) == NULL"", ""Condition""]], [""False"", [27306, ""True"", ""dom == NULL"", ""Condition""]], [""False"", [27434, ""True"", ""( s = strchr ( buf , ' ' ) ) == NULL"", ""Condition""]], [""False"", [27455, ""True"", ""( s = strchr ( buf , '\\n' ) ) == NULL"", ""Condition""]]]","[["""", [27258, ""True"", ""( void ) fprintf ( p , \""%s\\n\"" , dom -> name )"", ""ExpressionStatement""]], ["""", [27312, ""True"", ""dom = firstdom"", ""ExpressionStatement""]], ["""", [27319, ""True"", ""break ;"", ""BreakStatement""]]]","[[[""p"", ""popen"", ""const char *"", ""\""w\"""", ""="", ""NULL"", ""==""]], [[""struct SMBDOMAIN *"", ""NULL"", ""==""]], [[""s"", ""strchr"", ""char [ HELPER_INPUT_BUFFER ]"", ""' '"", ""="", ""NULL"", ""==""]], [[""s"", ""strchr"", ""char [ HELPER_INPUT_BUFFER ]"", ""'\\n'"", ""="", ""NULL"", ""==""]], [[""fprintf"", ""FILE *"", ""\""%s\\n\"""", ""struct SMBDOMAIN *"", ""name""]], [[""struct SMBDOMAIN *"", ""firstdom"", ""=""]], [[]]]","[[[""struct SMBDOMAIN *"", ""passthrough"", ""\""\"""", ""=""], ""dom -> passthrough""], [[""struct SMBDOMAIN *"", ""next"", ""NULL"", ""=""], ""* dom""], [[""FILE *"", ""popen"", ""const char *"", ""\""w\"""", ""="", ""NULL"", ""==""], ""FILE *""], [[""struct SMBDOMAIN *"", ""firstdom"", ""=""], ""struct SMBDOMAIN *""], [[""struct SMBDOMAIN *"", ""firstdom"", ""=""], ""struct SMBDOMAIN *""], [[""struct SMBDOMAIN *"", ""struct SMBDOMAIN *"", ""next""], ""struct SMBDOMAIN *""]]","[""\""%s\\n\""""]"
"( void ) fprintf ( p , ""%s\n"" , dom -> name )",222:8:6278:6314,/data/download/squid/squid-3.5.25/helpers/basic_auth/SMB/basic_smb_auth.cc,"[[""False"", [27283, ""True"", ""( p = popen ( shcmd , \""w\"" ) ) == NULL"", ""Condition""]], [""False"", [27306, ""True"", ""dom == NULL"", ""Condition""]], [""False"", [27434, ""True"", ""( s = strchr ( buf , ' ' ) ) == NULL"", ""Condition""]], [""False"", [27455, ""True"", ""( s = strchr ( buf , '\\n' ) ) == NULL"", ""Condition""]]]","[["""", [27312, ""True"", ""dom = firstdom"", ""ExpressionStatement""]], ["""", [27319, ""True"", ""break ;"", ""BreakStatement""]], ["""", [27333, ""True"", ""dom = dom -> next"", ""AssignmentExpr""]], ["""", [27342, ""True"", ""dom = firstdom ;"", ""ForInit""]]]","[[[""p"", ""popen"", ""const char *"", ""\""w\"""", ""="", ""NULL"", ""==""]], [[""struct SMBDOMAIN *"", ""NULL"", ""==""]], [[""s"", ""strchr"", ""char [ HELPER_INPUT_BUFFER ]"", ""' '"", ""="", ""NULL"", ""==""]], [[""s"", ""strchr"", ""char [ HELPER_INPUT_BUFFER ]"", ""'\\n'"", ""="", ""NULL"", ""==""]], [[""struct SMBDOMAIN *"", ""firstdom"", ""=""]], [[]], [[""struct SMBDOMAIN *"", ""struct SMBDOMAIN *"", ""next""]], [[""struct SMBDOMAIN *"", ""firstdom"", ""=""]]]","[[[""struct SMBDOMAIN *"", ""next"", ""NULL"", ""=""], ""* dom""], [[""struct SMBDOMAIN *"", ""name"", ""struct SMBDOMAIN *"", ""sname"", ""char * [ ]"", ""int"", ""="", ""=""], ""dom -> name""], [[""FILE *"", ""popen"", ""const char *"", ""\""w\"""", ""="", ""NULL"", ""==""], ""FILE *""], [[""struct SMBDOMAIN *"", ""firstdom"", ""=""], ""struct SMBDOMAIN *""], [[""struct SMBDOMAIN *"", ""firstdom"", ""=""], ""struct SMBDOMAIN *""], [[""struct SMBDOMAIN *"", ""struct SMBDOMAIN *"", ""next""], ""struct SMBDOMAIN *""]]","[""\""%s\\n\""""]"
"fprintf ( stderr , ""FATAL: Unknown option: -%c\n"" , opt )",105:12:3028:3080,/data/download/squid/squid-3.5.25/helpers/basic_auth/SSPI/basic_sspi_auth.cc,"[[""case 'h'"", [28933, ""True"", ""opt"", ""Condition""]], [""True"", [28935, ""True"", ""- 1 != ( opt = getopt ( argc , argv , \""dhA:D:O:\"" ) )"", ""Condition""]]]","[["""", [28846, ""True"", ""default :"", ""Label""]], ["""", [28848, ""True"", ""opt = optopt"", ""ExpressionStatement""]], ["""", [28852, ""True"", ""case '?' :"", ""Label""]], ["""", [28853, ""True"", ""exit ( 0 )"", ""ExpressionStatement""]], ["""", [28819, ""True"", ""exit ( 1 )"", ""ExpressionStatement""]], ["""", [28870, ""True"", ""break ;"", ""BreakStatement""]], ["""", [28876, ""True"", ""break ;"", ""BreakStatement""]], ["""", [28889, ""True"", ""break ;"", ""BreakStatement""]], ["""", [28911, ""True"", ""break ;"", ""BreakStatement""]], ["""", [28952, ""True"", ""int opt ;"", ""IdentifierDeclStatement""]]]","[[[""int"", ""'h'"", ""==""]], [[""-"", ""1"", ""opt"", ""getopt"", ""int"", ""char * [ ]"", ""\""dhA:D:O:\"""", ""="", ""!=""]], [[""default""]], [[""int"", ""optopt"", ""=""]], [[]], [[""exit"", ""0""]], [[""exit"", ""1""]], [[]], [[]], [[]], [[]], [[""int""]]]","[[[""-"", ""1"", ""int"", ""getopt"", ""int"", ""char * [ ]"", ""\""dhA:D:O:\"""", ""="", ""!=""], ""int""], [[""int"", ""optopt"", ""=""], ""int""]]","[""\""FATAL: Unknown option: -%c\\n\""""]"
"fprintf ( stderr , ""FATAL: can't initialize SSPI, exiting.\n"" )",127:8:3524:3583,/data/download/squid/squid-3.5.25/helpers/basic_auth/SSPI/basic_sspi_auth.cc,"[[""True"", [29261, ""True"", ""LoadSecurityDll ( SSP_BASIC , NTLM_PACKAGE_NAME ) == NULL"", ""Condition""]]]","[["""", [29272, ""True"", ""process_options ( argc , argv )"", ""ExpressionStatement""]], ["""", [29281, ""True"", ""int err = 0 ;"", ""IdentifierDeclStatement""]], ["""", [29288, ""True"", ""char * p ;"", ""IdentifierDeclStatement""]]]","[[[""LoadSecurityDll"", ""SSP_BASIC"", ""NTLM_PACKAGE_NAME"", ""NULL"", ""==""]], [[""process_options"", ""int"", ""char * *""]], [[""int"", ""int"", ""0"", ""=""]], [[""char *""]]]",[],"[""\""FATAL: can't initialize SSPI, exiting.\\n\""""]"
"vfprintf ( stderr , format , args )",88:8:2431:2461,/data/download/squid/squid-3.5.25/helpers/basic_auth/SSPI/valid.h,"[[""True"", [30056, ""True"", ""debug_enabled"", ""Condition""]]]","[["""", [30029, ""True"", ""fprintf ( stderr , \""nt_auth[%d]: \"" , getpid ( ) )"", ""ExpressionStatement""]], ["""", [30043, ""True"", ""va_start ( args , format )"", ""ExpressionStatement""]], ["""", [30052, ""True"", ""va_list args ;"", ""IdentifierDeclStatement""]]]","[[[""debug_enabled""]], [[""fprintf"", ""stderr"", ""\""nt_auth[%d]: \"""", ""getpid""]], [[""va_start"", ""va_list"", ""char *""]], [[""va_list""]]]","[[[""char *""], ""char *""], [[""va_list""], ""va_list""]]",[]
"fprintf ( stderr , ""nt_auth[%d]: "" , getpid ( ) )",87:8:2380:2421,/data/download/squid/squid-3.5.25/helpers/basic_auth/SSPI/valid.h,"[[""True"", [30056, ""True"", ""debug_enabled"", ""Condition""]]]","[["""", [30043, ""True"", ""va_start ( args , format )"", ""ExpressionStatement""]], ["""", [30052, ""True"", ""va_list args ;"", ""IdentifierDeclStatement""]], ["""", [30004, ""True"", ""char * format"", ""Parameter""]]]","[[[""debug_enabled""]], [[""va_start"", ""va_list"", ""char *""]], [[""va_list""]], [[""char *""]]]",[],"[""\""nt_auth[%d]: \""""]"
"fprintf ( stderr , ""%s: FATAL: unknown option: -%c. Exiting\n"" , program_name , opt )",82:12:2536:2615,/data/download/squid/squid-3.5.25/helpers/basic_auth/fake/fake.cc,"[[""case 'h'"", [30150, ""True"", ""opt"", ""Condition""]], [""True"", [30152, ""True"", ""- 1 != ( opt = getopt ( argc , argv , \""hd\"" ) )"", ""Condition""]]]","[["""", [30129, ""True"", ""default :"", ""Label""]], ["""", [30131, ""True"", ""exit ( 0 )"", ""ExpressionStatement""]], ["""", [30138, ""True"", ""usage ( )"", ""ExpressionStatement""]], ["""", [30143, ""True"", ""case 'h' :"", ""Label""]], ["""", [30104, ""True"", ""exit ( 1 )"", ""ExpressionStatement""]], ["""", [30144, ""True"", ""break ;"", ""BreakStatement""]], ["""", [30169, ""True"", ""opterr = 0"", ""ExpressionStatement""]]]","[[[""int"", ""'h'"", ""==""]], [[""-"", ""1"", ""opt"", ""getopt"", ""int"", ""char * [ ]"", ""\""hd\"""", ""="", ""!=""]], [[""default""]], [[""exit"", ""0""]], [[""usage""]], [[]], [[""exit"", ""1""]], [[]], [[""opterr"", ""0"", ""=""]]]","[[[""-"", ""1"", ""int"", ""getopt"", ""int"", ""char * [ ]"", ""\""hd\"""", ""="", ""!=""], ""int""]]","[""\""%s: FATAL: unknown option: -%c. Exiting\\n\""""]"
"fprintf ( stderr , ""Connect timeouts not supported in your LDAP library\n"" )",149:4:3753:3825,/data/download/squid/squid-3.5.25/helpers/digest_auth/LDAP/ldap_backend.cc,[],"[["""", [31495, ""True"", ""int aTimeLimit"", ""Parameter""]], ["""", [31509, ""True"", ""ENTRY"", ""CFGEntryNode""]]]","[[[""int""]], [[""ENTRY""]]]",[],"[""\""Connect timeouts not supported in your LDAP library\\n\""""]"
"fprintf ( stderr , ""Could not Activate TLS connection\n"" )",373:16:11229:11283,/data/download/squid/squid-3.5.25/helpers/digest_auth/LDAP/ldap_backend.cc,"[[""True"", [32405, ""True"", ""ldap_start_tls_s ( ld , NULL , NULL ) != LDAP_SUCCESS"", ""Condition""]], [""False"", [32435, ""True"", ""version != LDAP_VERSION3"", ""Condition""]], [""True"", [32439, ""True"", ""use_tls"", ""Condition""]], [""False"", [32657, ""True"", ""ld == NULL"", ""Condition""]]]","[["""", [32443, ""True"", ""ld = NULL"", ""ExpressionStatement""]]]","[[[""ldap_start_tls_s"", ""ld"", ""NULL"", ""NULL"", ""LDAP_SUCCESS"", ""!=""]], [[""version"", ""LDAP_VERSION3"", ""!=""]], [[""use_tls""]], [[""ld"", ""NULL"", ""==""]], [[""ld"", ""NULL"", ""=""]]]",[],"[""\""Could not Activate TLS connection\\n\""""]"
"fprintf ( stderr , ""TLS requires LDAP version 3\n"" )",370:16:11063:11111,/data/download/squid/squid-3.5.25/helpers/digest_auth/LDAP/ldap_backend.cc,"[[""True"", [32435, ""True"", ""version != LDAP_VERSION3"", ""Condition""]], [""True"", [32439, ""True"", ""use_tls"", ""Condition""]], [""False"", [32657, ""True"", ""ld == NULL"", ""Condition""]]]","[["""", [32443, ""True"", ""ld = NULL"", ""ExpressionStatement""]], ["""", [32447, ""True"", ""ldap_unbind ( ld )"", ""ExpressionStatement""]], ["""", [32482, ""True"", ""version = LDAP_VERSION2"", ""ExpressionStatement""]]]","[[[""version"", ""LDAP_VERSION3"", ""!=""]], [[""use_tls""]], [[""ld"", ""NULL"", ""==""]], [[""ld"", ""NULL"", ""=""]], [[""ldap_unbind"", ""ld""]], [[""version"", ""LDAP_VERSION2"", ""=""]]]",[],"[""\""TLS requires LDAP version 3\\n\""""]"
"fprintf ( stderr , ""Could not set LDAP_OPT_PROTOCOL_VERSION %d\n"" , version )",362:12:10802:10894,/data/download/squid/squid-3.5.25/helpers/digest_auth/LDAP/ldap_backend.cc,"[[""True"", [32465, ""True"", ""ldap_set_option ( ld , LDAP_OPT_PROTOCOL_VERSION , & version ) != LDAP_SUCCESS"", ""Condition""]], [""False"", [32657, ""True"", ""ld == NULL"", ""Condition""]]]","[["""", [32482, ""True"", ""version = LDAP_VERSION2"", ""ExpressionStatement""]], ["""", [32493, ""True"", ""squid_ldap_set_connect_timeout ( connect_timeout )"", ""ExpressionStatement""]], ["""", [32493, ""True"", ""squid_ldap_set_connect_timeout ( connect_timeout )"", ""ExpressionStatement""]], ["""", [32508, ""True"", ""fprintf ( stderr , \""\\nUnable to connect to LDAP server:%s port:%d\\n\"" , ldapServer , port )"", ""ExpressionStatement""]], ["""", [32537, ""True"", ""exit ( 1 )"", ""ExpressionStatement""]], ["""", [32618, ""True"", ""fprintf ( stderr , \""\\nUnable to connect to LDAPURI:%s\\n\"" , ldapServer )"", ""ExpressionStatement""]]]","[[[""ldap_set_option"", ""ld"", ""LDAP_OPT_PROTOCOL_VERSION"", ""&"", ""version"", ""LDAP_SUCCESS"", ""!=""]], [[""ld"", ""NULL"", ""==""]], [[""version"", ""LDAP_VERSION2"", ""=""]], [[""squid_ldap_set_connect_timeout"", ""connect_timeout""]], [[""squid_ldap_set_connect_timeout"", ""connect_timeout""]], [[""fprintf"", ""stderr"", ""\""\\nUnable to connect to LDAP server:%s port:%d\\n\"""", ""ldapServer"", ""port""]], [[""exit"", ""1""]], [[""fprintf"", ""stderr"", ""\""\\nUnable to connect to LDAPURI:%s\\n\"""", ""ldapServer""]]]","[[[""version"", ""LDAP_VERSION2"", ""=""], ""version""]]","[""\""Could not set LDAP_OPT_PROTOCOL_VERSION %d\\n\""""]"
"fprintf ( stderr , ""\nUnable to connect to LDAP server:%s port:%d\n"" , ldapServer , port )",351:20:10394:10478,/data/download/squid/squid-3.5.25/helpers/digest_auth/LDAP/ldap_backend.cc,"[[""True"", [32521, ""True"", ""( ld = ldap_init ( ldapServer , port ) ) == NULL"", ""Condition""]], [""False"", [32613, ""True"", ""sslpath"", ""Condition""]], [""False"", [32646, ""True"", ""strstr ( ldapServer , \""://\"" ) != NULL"", ""Condition""]], [""True"", [32657, ""True"", ""ld == NULL"", ""Condition""]]]",[],"[[[""ld"", ""ldap_init"", ""ldapServer"", ""port"", ""="", ""NULL"", ""==""]], [[""sslpath""]], [[""strstr"", ""ldapServer"", ""\""://\"""", ""NULL"", ""!=""]], [[""ld"", ""NULL"", ""==""]]]",[],"[""\""\\nUnable to connect to LDAP server:%s port:%d\\n\""""]"
"fprintf ( stderr , ""\nUnable to connect to SSL LDAP server: %s port:%d\n"" , ldapServer , port )",344:20:10116:10233,/data/download/squid/squid-3.5.25/helpers/digest_auth/LDAP/ldap_backend.cc,"[[""True"", [32557, ""True"", ""( ld = ldapssl_init ( ldapServer , port , 1 ) ) == NULL"", ""Condition""]], [""True"", [32613, ""True"", ""sslpath"", ""Condition""]], [""False"", [32646, ""True"", ""strstr ( ldapServer , \""://\"" ) != NULL"", ""Condition""]], [""True"", [32657, ""True"", ""ld == NULL"", ""Condition""]]]","[["""", [32575, ""True"", ""++ sslinit"", ""ExpressionStatement""]], ["""", [32580, ""True"", ""exit ( 1 )"", ""ExpressionStatement""]], ["""", [32587, ""True"", ""fprintf ( stderr , \""\\nUnable to initialise SSL with cert path %s\\n\"" , sslpath )"", ""ExpressionStatement""]]]","[[[""ld"", ""ldapssl_init"", ""ldapServer"", ""port"", ""1"", ""="", ""NULL"", ""==""]], [[""sslpath""]], [[""strstr"", ""ldapServer"", ""\""://\"""", ""NULL"", ""!=""]], [[""ld"", ""NULL"", ""==""]], [[""sslinit""]], [[""exit"", ""1""]], [[""fprintf"", ""stderr"", ""\""\\nUnable to initialise SSL with cert path %s\\n\"""", ""sslpath""]]]",[],"[""\""\\nUnable to connect to SSL LDAP server: %s port:%d\\n\""""]"
"fprintf ( stderr , ""\nUnable to initialise SSL with cert path %s\n"" , sslpath )",337:20:9817:9919,/data/download/squid/squid-3.5.25/helpers/digest_auth/LDAP/ldap_backend.cc,"[[""True"", [32598, ""True"", ""! sslinit && ( ldapssl_client_init ( sslpath , NULL ) != LDAP_SUCCESS )"", ""Condition""]], [""True"", [32613, ""True"", ""sslpath"", ""Condition""]], [""False"", [32646, ""True"", ""strstr ( ldapServer , \""://\"" ) != NULL"", ""Condition""]], [""True"", [32657, ""True"", ""ld == NULL"", ""Condition""]]]",[],"[[[""!"", ""sslinit""]], [[""ldapssl_client_init"", ""sslpath"", ""NULL"", ""LDAP_SUCCESS"", ""!=""]], [[""sslpath""]], [[""strstr"", ""ldapServer"", ""\""://\"""", ""NULL"", ""!=""]], [[""ld"", ""NULL"", ""==""]]]",[],"[""\""\\nUnable to initialise SSL with cert path %s\\n\""""]"
"fprintf ( stderr , ""\nUnable to connect to LDAPURI:%s\n"" , ldapServer )",330:16:9561:9627,/data/download/squid/squid-3.5.25/helpers/digest_auth/LDAP/ldap_backend.cc,"[[""True"", [32629, ""True"", ""rc != LDAP_SUCCESS"", ""Condition""]], [""True"", [32646, ""True"", ""strstr ( ldapServer , \""://\"" ) != NULL"", ""Condition""]], [""True"", [32657, ""True"", ""ld == NULL"", ""Condition""]]]","[["""", [32633, ""True"", ""rc = ldap_initialize ( & ld , ldapServer )"", ""ExpressionStatement""]]]","[[[""int"", ""LDAP_SUCCESS"", ""!=""]], [[""strstr"", ""ldapServer"", ""\""://\"""", ""NULL"", ""!=""]], [[""ld"", ""NULL"", ""==""]], [[""int"", ""ldap_initialize"", ""&"", ""ld"", ""ldapServer"", ""=""]]]",[],"[""\""\\nUnable to connect to LDAPURI:%s\\n\""""]"
